# Determinant Trace Iterations
-4.271060425886503 0.4897103815417365 58
-0.8492512377642706 1.622443628714727 9
-0.21617474291857586 -2.811385232910913 6
-0.010817062149507284 0.508777233024559 5
-0.4567893583934678 -1.0013914958688002 10
0.09074017256058853 2.2262437642342796 5
-2.2111478443829555 -0.4835134249884483 42
-2.055240498179169 -0.6191053118358467 37
0.5930901451353761 -1.8707872601275568 10
0.3003892190375826 -1.8283803226435857 7
-0.7291590277641897 2.4569074456404763 8
-0.7663215843630043 -0.13819585111401889 68
-2.787785499517904 0.27030961119689145 93
-2.9404864182613117 -1.2565866802864694 22
-2.864252769040932 -0.2704206166244685 87
1.0224360618913588 2.477260185314143 11
0.1187242293889738 1.2483178914373303 7
0.6602059223623921 -2.019395252689856 10
-3.324633962619282 0.5317896367365282 34
1.6492383919105407 2.8132088686324646 19
-0.2987061038144896 0.15709835504719738 40
2.623951516766339 3.268611325249982 37
0.16801194509785022 1.3832036873891744 7
-0.5263025556431482 -1.0660830020281509 10
-3.5182910211747793 -0.34828374643447324 66
-2.9006618287648065 0.2628805280248594 99
0.8841365032898538 2.77182145301669 8
0.4459835922107241 2.1120341736978303 7
1.785017595212583 3.2027995649073913 11
1.7571498879495608 -2.9034484115329633 12
0.8299003229380706 1.944429057504788 15
0.2512610452070127 1.414909478675161 8
-2.5847958781606573 0.844179539193127 25
-0.06616185552308695 -2.1439034689429417 5
-0.31866600518835475 0.4223004759919413 16
-0.5459826114082941 -1.5202245783070691 10
-5.085211051335143 0.39866756606522324 78
-0.4831978366628232 0.6015683032413723 18
-0.4746061167303006 -1.3721509136808212 9
-0.7734874518651182 2.447579536981104 7
2.654356080078011 3.291862422157906 24
-0.8977370264282312 -0.5567639229639734 25
-1.3106866437612317 0.8398255403558643 19
-1.1224730821024167 -0.8647735081534931 19
-1.3774722149587495 -0.3776809557021825 37
-1.7022211335629676 -1.0579138444864524 15
2.94655363457692 -3.458473883706328 36
-0.8572233690028223 0.3305985756576777 39
-0.0011064411677096306 -0.26617830446160795 5
-0.034542103734539475 -0.9953941137702333 6
-3.6303821536908147 1.1546324445360594 27
-0.6446844689133061 0.75553386694033 14
2.4875780538587584 -3.2321522388983044 28
0.06450281005330549 0.5464095133793148 12
-2.327848667919936 0.5148825134156927 50
-0.12925225498543425 0.8530869536756813 8
-3.4073634989896773 0.3501493199948702 58
-1.7333117435932461 0.49736059518192466 37
0.00370617536751644 -0.5908413103506653 5
-2.002733998463443 0.8064540447070789 20
0.36534970147112017 -1.214225977801831 38
-0.40137666233770136 -1.4648737235700158 9
-0.21511998122770354 -0.7289068155746499 11
0.6946990273369458 -2.705109750385001 7
0.27721123910299983 1.2493505612251328 10
-0.6318317745111512 1.8221510592492454 8
-0.3034483669348073 1.626577473925658 7
1.278977655330395 2.3297583681562513 17
1.1160091040472324 2.3326987220149165 15
-0.7531979650147199 0.7790645388187318 14
-1.1782654635044438 0.4539750770408122 24
-0.6335195212763625 -1.6569484632780198 8
-1.1811673259089273 0.8206136768196153 22
1.2663489812979558 2.540465952606831 12
0.7193116866484579 2.7801991718107777 8
-2.238080775270733 0.20961281002533072 80
-1.651172951089055 -0.43040034343607614 49
-0.14249075726080052 -1.2673846682968666 7
-1.669158188845628 -1.6702998593469642 13
-1.0878904296929361 1.1291595283034197 12
-0.9891026827677474 -0.7950275443239763 21
-3.92372299801169 -0.9593639307134585 23
-0.5765579271355614 0.540035177997042 21
2.2954061624869437 3.163795832317041 22
-1.0044574800208792 -0.6601228900175271 20
-1.3648317826518301 1.0466296984156491 17
-3.0345591882450824 -0.9008129020767868 25
-2.092562733224305 -0.7696379611877764 28
-0.03616415170178319 0.8378038127156966 6
1.2866198341046722 2.5409003427813763 14
-0.16497938026484374 -0.09238985473893502 50
-0.6521736278390924 0.5661914856253865 23
-0.27434259003435774 -0.4471623585368656 17
-3.105451328989205 1.0678472420347145 22
0.9182498605254311 2.0899091946478094 17
-1.0741552589642054 1.272193228324677 8
-3.4595956565521253 -0.6149929713350875 36
-0.5560154391090862 -2.0421556501011704 8
-1.5476156368708731 1.1123639563171737 15
1.7320201852741235 -2.823684233237117 19
0.7006295174590834 -1.789436427887106 13
0.5354749403277227 1.8063611765150283 13
2.6227226350578365 3.240094563566493 12
-0.6904305789286863 1.488157848599688 10
-2.7599719303563264 -0.29388745144086803 84
2.9011163454582927 -3.408057839098783 86
-0.5090757539864463 -1.974232134784664 8
-1.5238175223223092 -0.23962769154454966 70
2.1139819720195385 3.380965868274673 12
0.1766046173098101 0.9641409793098048 10
-2.6063014823193895 -0.5373248499647301 49
1.3182650312757822 2.558049591461359 13
0.8562965987424754 2.355859081330342 10
-1.3542978055360455 -0.18043605799846452 76
0.09538570905196908 0.725661106958281 10
-0.27777103405356246 -1.244697067214604 7
-0.9449647748786759 0.7679556414685664 20
-0.027016646267213854 1.0656388328910835 4
-1.2310217273800466 0.48111860840487175 24
